NAME,Species,Origin, latitude, longitude
ALMA,Brook Trout,Natural Occurrence,44.61747021,-65.11334442
BAILLE,Yellow Perch,Natural Occurrence,44.59785927,-65.47956774
BEELERS,White Perch,Natural Occurrence,44.6520984,-65.51864209
BIG MOLLY UPSIM,Smallmouth Bass,Illegal Introduction,44.66552132,-65.04534414
BOOT,Yellow Perch,Natural Occurrence,44.57182044,-65.38338636
CADY,American Eel,Natural Occurrence,44.61241312,-65.50157467
CONNELL,Brook Trout,Natural Occurrence,44.7233945,-65.04600676
CROSKILL,American Eel,Natural Occurrence,44.87466409,-65.31303702
ELEVEN MILE,Yellow Perch,Natural Occurrence,44.5307319,-65.28841351
ELLIOT,Tiger Trout,Legal Introduction,44.94095212,-65.18338574
FED,Nine Spine Stickleback,Natural Occurrence,44.58708857,-65.57966315
FISHER,Brook Trout,Natural Occurrence,44.54828957,-65.34154828
GIBONS,Brook Trout,Natural Occurrence,44.71603007,-65.3048998
GRAND,Smallmouth Bass,Illegal Introduction,44.64359916,-65.47091167
JERRY,Yellow Perch,Natural Occurrence,44.71162955,-65.43025148
LAKE PLEASANT,White Perch,Natural Occurrence,44.6188037,-64.87189091
LAMB,Smallmouth Bass,Illegal Introduction,44.66830584,-65.44815692
LAROSE,Banded Killifish,Natural Occurrence,44.71292816,-65.44111276
LILY,Banded Killifish,Natural Occurrence,44.63606649,-63.85403751
LIVERPOOL HEAD,Yellow Perch,Natural Occurrence,44.58022233,-65.40344264
LOWER SIXTY,Brook Trout,Stocking Program,44.72329329,-64.81565811
LOWER WRIGHTS,Atlantic Salmon,Natural Occurrence,44.72595072,-65.36561658
MCGILL,Smallmouth Bass,Illegal Introduction,44.6856202,-65.00852272
MILBURY,Brook Trout,Natural Occurrence,44.82683764,-65.45643041
MILETREE,Brook Trout,Natural Occurrence,44.68583963,-64.93854516
MILL,White Perch,Natural Occurrence,44.47806243,-65.1304846
MUDFLAT,White Perch,Natural Occurrence,44.47193133,-65.15018928
MULGRAVE,Brook Trout,Natural Occurrence,44.50586511,-65.47904636
MUNROE,Brook Trout,Natural Occurrence,44.52896237,-65.33137237
PARADISE,Smallmouth Bass,Illegal Introduction,44.7637835,-65.16958464
PAT KEMPTON,Yellow Perch,Natural Occurrence,44.43331098,-65.18333689
PERCH,White Perch,Natural Occurrence,44.49650449,-65.10206326
PITTS,Brook Trout,Natural Occurrence,44.58753721,-65.40662909
PRETTY MARY,Brook Trout,Natural Occurrence,44.46941512,-65.1594883
QUILTY,Yellow Perch,Natural Occurrence,44.72519146,-65.03613222
RAMSEY,Banded Killifish,Natural Occurrence,44.89553181,-65.27356164
ROUND,Yellow Perch,Natural Occurrence,44.50125527,-64.99277078
RUMSEY,Brown Bullhead,Unknown,44.89553181,-65.27356164
SANDY BOTTOM,Yellow Perch,Natural Occurrence,44.58529478,-65.43595092
SECOND,Brook Trout,Natural Occurrence,44.68504052,-65.48608755
SHANNON,White Perch,Natural Occurrence,44.74311857,-65.004905
SIMPSONS,White Sucker,Natural Occurrence,44.56758618,-65.51362998
SPECTACLE 1,Three Spine Stickleback,Natural Occurrence,44.71063606,-65.15235957
SPECTACLE 2,Three Spine Stickleback,Natural Occurrence,44.71063606,-65.15235957
SPRINGFIELD,White Perch,Natural Occurrence,44.63639659,-64.85853705
SUNDOWN,Brook Trout,Natural Occurrence,44.5409069,-65.41077344
TOMMY,Yellow Perch,Natural Occurrence,44.58185003,-64.99151732
TROUT,Brook Trout,Natural Occurrence,44.77473301,-65.06955751
TWIN,Yellow Perch,Natural Occurrence,44.48132543,-65.24215428
UPPER,Yellow Perch,Natural Occurrence,44.49634519,-65.53133181
UPPER MINK,Brook Trout,Natural Occurrence,44.55249699,-65.4582887
UPPER WRIGHTS,Brook Trout,Natural Occurrence,44.73506822,-65.36874175
VIEW,Brook Trout,Natural Occurrence,44.5270519,-65.34552932
WAMBOLDT,Brown Bullhead,Natural Occurrence,44.85163871,-65.04306482
WATERLOO,Smallmouth Bass,Illegal Introduction,44.73073704,-64.9767063
WILD DUCK,Brook Trout,Natural Occurrence,44.61461897,-64.92859861
YOUNG,Smallmouth Bass,Illegal Introduction,44.81916673,-65.44053469
ZWICKERS,Brook Trout,Natural Occurrence,44.73329476,-65.03606303
CAMERON,Brook Trout,Natural Occurrence,45.51537971,-61.98110836
GASPEREAUX,White Perch,Natural Occurrence,45.55606523,-62.05444212
GILLIS,Brook Trout,Natural Occurrence,45.52529503,-61.97263142
JAMES RIVER RESERVOIR,Brook Trout,Natural Occurrence,45.59998599,-62.13333201
KIMBALLS,Brook Trout,Natural Occurrence,45.36194584,-61.90726777
LITTLE,Brook Trout,Natural Occurrence,45.61696096,-61.83557667
LOCH KATRINE,Brown Trout,Legal Introduction,45.4333026,-61.93332724
LOCHABER,Brook Trout,Natural Occurrence,45.42155572,-62.02917059
MCGILLIVRAY,Yellow Perch,Natural Occurrence,45.50854948,-61.92339363
ST JOSEPHS,Brook Trout,Natural Occurrence,45.53584416,-62.08033278
STEWART,American Eel,Natural Occurrence,45.47719654,-62.03072324
TRACADIE,Brook Trout,Natural Occurrence,45.61984368,-61.60298895
VINCENTS,Brook Trout,Natural Occurrence,45.71131353,-62.15553564
# 20 DAM,Brook Trout,Natural Occurrence,46.19997736,-59.96666616
AECL HEAVY WATER RESEVOIR,Nine Spine Stickleback,Natural Occurrence,46.133373,-59.96666449
AMAGUADEES,Rainbow Trout,Legal Introduction,45.91464654,-60.65856186
BELLE,Brook Trout,Natural Occurrence,45.95173593,-60.10526215
BLACKETTS,Alewife (Gaspereau),Natural Occurrence,46.06697189,-60.30878097
BROWN'S,Brook Trout,Natural Occurrence,46.18504094,-60.16297981
CANOE,Atlantic Salmon,Natural Occurrence,45.87134608,-60.22808827
DUMARESQ,White Perch,Natural Occurrence,46.0739906,-60.13839266
ENON,Brook Trout,Natural Occurrence,45.8113756,-60.54140469
FIGURE OF EIGHT,White Perch,Natural Occurrence,45.80086272,-60.29158268
FORESTER,Brook Trout,Natural Occurrence,46.14108331,-60.34497184
FRONT,Brook Trout,Natural Occurrence,46.05352525,-60.17681133
GABARUS,Brook Trout,Natural Occurrence,45.81280072,-60.20799486
GAMMELL,Brook Trout,Natural Occurrence,46.22340486,-60.2785654
GILLIES,Brook Trout,Natural Occurrence,46.05966765,-60.39751811
HARDY,Brook Trout,Natural Occurrence,45.86342919,-60.19507568
JOES,Brook Trout,Natural Occurrence,46.06680456,-60.21544303
JOHNSON,White Perch,Natural Occurrence,45.98424098,-59.91662244
LEVERS,Creek Chub,Natural Occurrence,45.84471368,-60.17707219
LONG,Brook Trout,Natural Occurrence,45.83619869,-60.2004628
LOON,Brook Trout,Natural Occurrence,46.07874782,-59.9703862
MCADAMS,Brook Trout,Natural Occurrence,46.02687459,-60.431943
MCDOUGALL,Brook Trout,Natural Occurrence,45.8608617,-60.32821857
MCINNIS,White Perch,Natural Occurrence,46.02305712,-60.32061732
MORRISON,Brown Bullhead,Natural Occurrence,45.08389304,-61.88002812
OTTER,Brook Trout,Natural Occurrence,45.86614149,-60.21764063
POWER,Brook Trout,Natural Occurrence,46.13350923,-60.12861574
SCOTCH,Brook Trout,Natural Occurrence,46.18116642,-60.35795571
STRING,White Perch,Natural Occurrence,45.88186155,-60.22744899
BLACKIE,Brook Trout,Natural Occurrence,45.19297546,-62.93415683
BYER'S,Brook Trout,Natural Occurrence,45.58883553,-63.4157488
CLEAR,Brook Trout,Natural Occurrence,45.5782051,-63.33654812
COOK,Brook Trout,Natural Occurrence,45.54351124,-63.40434711
DAVIS,Brown Trout,Legal Introduction,45.14823578,-63.15883111
DEBERT PONDS,White Sucker,Natural Occurrence,45.43336951,-63.46666479
DEYARMONT,Brook Trout,Natural Occurrence,45.30722208,-63.02021865
EARLTOWN,Brown Trout,Legal Introduction,45.5586449,-63.12973176
ECONOMY,Brook Trout,Natural Occurrence,45.47969847,-63.85911519
FARM,Brook Trout,Natural Occurrence,45.55351295,-63.34635551
FOLLY,Smallmouth Bass,Illegal Introduction,45.54022247,-63.54583555
FROG,Brook Trout,Natural Occurrence,45.51394464,-63.39084594
GUYON,Brook Trout,Natural Occurrence,45.55874747,-63.39738358
HART,Brook Trout,Natural Occurrence,45.57482571,-63.51808929
HAY,Nine Spine Stickleback,Natural Occurrence,45.29795032,-63.02166933
HINGLEY,Brook Trout,Natural Occurrence,45.46804895,-63.0805414
IRVINE,Brook Trout,Natural Occurrence,45.57312657,-63.40381623
JOHNSTON,Brook Trout,Natural Occurrence,45.57269219,-63.37272099
